date, pm25, pm10, no2, so2, co
2023/6/1, 122, 59, 3, 6, 21
2023/6/2, 95, 54, 3, 5, 13
2023/6/3, 99, 58, 3, 5, 11
2023/6/4, 101, 55, 3, 4, 6
2023/6/5, 82, 51, 4, 5, 18
2023/6/6, 78, 58, 4, 5, 22
2023/6/7, 100, 56, 5, 4, 12
2023/6/8, 90, 56, 6, 5, 18
2023/6/9, 105, 55, 5, 5, 17
2023/6/10, 107, 54, 4, 5, 23
2023/6/11, 98, 50, 2, 4, 8
2023/6/12, 67, 46, 2, 4, 15
2023/6/13, 50, 54, 4, 5, 22
2023/6/14, 82, 57, 3, 5, 15
2023/6/15, 98, 55, 3, 4, 15
2023/6/16, 100, 61, 5, 5, 17
2023/6/17, 122, 60, 6, 5, 8
2023/6/18, 122, 64, 6, 4, 19
2023/6/19, 129, 39, 4, 2, 8
2023/6/20, 95, 52, 5, 4, 4
2023/6/21, 67, 50, 6, 4, 19
2023/6/22, 75, 35, 5, 5, 21
2023/6/23, 58, , , , 
2023/5/1, 50, 49, 3, 4, 7
2023/5/2, 63, 37, 4, 4, 31
2023/5/3, 83, 34, 5, 4, 12
2023/5/4, 73, 43, 4, 2, 7
2023/5/5, 80, 65, 4, 3, 7
2023/5/6, 103, 74, 5, 3, 9
2023/5/7, 105, 61, 4, 6, 14
2023/5/8, 79, 62, 4, 6, 21
2023/5/9, 78, 76, 3, 5, 11
2023/5/10, 88, 71, 3, 5, 13
2023/5/11, 85, 70, 2, 5, 8
2023/5/12, 95, 55, 3, 7, 16
2023/5/13, 100, 48, 3, 6, 7
2023/5/14, 178, 51, , 5, 15
2023/5/15, 108, 74, 2, 5, 9
2023/5/16, 101, , , , 
2023/5/22, 116, 40, 3, 5, 16
2023/5/23, 96, 52, 3, 5, 14
2023/5/24, 88, 54, 3, 6, 14
2023/5/25, 109, 46, 3, 7, 11
2023/5/26, 99, 48, 3, 6, 17
2023/5/27, 83, 50, 3, 4, 10
2023/5/28, 72, 60, 3, 3, 18
2023/5/29, 111, 61, 3, 4, 12
2023/5/30, 132, 58, 2, 5, 15
2023/5/31, 124, 59, 2, 5, 12
2023/4/3, 119, 89, 5, 6, 13
2023/4/4, 113, 58, 6, 3, 11
2023/4/5, 98, 61, 6, 4, 21
2023/4/6, 116, 69, 6, 4, 22
2023/4/7, 131, 32, 5, 3, 14
2023/4/8, 65, 38, 5, 3, 13
2023/4/9, 71, 34, 5, 5, 17
2023/4/10, 68, 50, 4, 4, 10
2023/4/11, 91, 46, 4, 4, 16
2023/4/12, 79, 63, 4, 5, 14
2023/4/13, 108, 59, 4, 3, 14
2023/4/14, 117, 94, 4, 4, 23
2023/4/15, 86, 81, 4, 6, 19
2023/4/16, 76, 104, 2, 4, 17
2023/4/17, 101, 91, 2, 4, 18
2023/4/18, 103, 102, 3, 3, 8
2023/4/19, 102, 76, 4, 3, 5
2023/4/20, 119, 56, 3, 3, 16
2023/4/21, 60, 52, 3, 5, 15
2023/4/22, 58, , , , 
2023/4/24, 45, 50, 3, 4, 17
2023/4/25, 38, 24, 4, 2, 30
2023/4/26, 41, 44, 4, 4, 7
2023/4/27, 61, 39, 3, 4, 10
2023/4/28, 70, 35, 3, 5, 3
2023/4/29, 54, , , , 
2023/1/2, 69, 55, , 3, 12
2023/1/3, 73, 52, , 3, 21
2023/1/4, 65, 50, 5, 4, 11
2023/1/5, 62, 56, 5, 3, 20
